IO Id,IO Name,Agency Name,Advertiser Name,Currency Type,Currency Exchange Rate,Ad Relevance,Booking Date,TA Rebate,IO Type,Agency Parent Company,Agency Type,ClientName
427297,SCI Brand Awareness Q3,Hacker Group,Service Corporation International,USD,1,Other,,0,,Interpublic,Holding Company,
427307,SCI Brand Response Q3,Hacker Group,Service Corporation International,USD,1,Other,,0,,Interpublic,Holding Company,
427317,Tribal Fusion_Cellarmasters 2015,Mitchell & Partners,Woolworths Limited,AUD,1.08,Consumer Goods,,0,,Aegis,Holding Company,
427327,Bancorp South 3Q14,Centro,"The Bancorp, Inc.",USD,1,Finance,,0,,Independent,Independent,
427337,Tribal Fusion_Curtin Uni_TISC Science,OMD,Curtin University,AUD,1.08,Education,,0,,Independent,Independent,
427357,TF Jetstar Retail Jul2-Aug3 2014,Maxus,Qantas Airways Limited,AUD,1.08,Travel and Transport,,0,,WPP,Holding Company,
427367,P&G.SKII FTE.Apple Wave 2.July 2014.Adotube,MediaCom,Procter & Gamble Company,USD,1,Consumer Goods,,0,,WPP,Holding Company,
427387,TF.CPM-A.Havas.Arena.Solvia.AsesorVerano.Jul.14,Arena Media,Banco Sabadell,EUR,0.73,Finance,,0,,Havas,Holding Company,
427397,"ADO, UM, MINI Countryman juli 2014",Universal Media,BMW,EUR,0.73,Automotive,,0,,Interpublic,Holding Company,
427407,Exponential_Satterley Eden Beach_Jul-Oct,OMD,Satterley Property Group,AUD,1.08,Real Estate,,0,,Independent,Independent,
427427,Isle of Man Steam Packet Jul 14,MediaCom,Banco Espirito Santo,GBP,0.59,Finance,,0,,WPP,Holding Company,
427437,TFAST.Netthink.MasterCard.Turistas.Jul.14,Netthink Isobar,MasterCard Worldwide,EUR,0.73,Finance,,0,,Aegis,Holding Company,
427447,Shukran Card- Oasis Mall.Display,Universal McCann,Landmark Group,USD,1,Retail,,0,,Interpublic,Holding Company,
427457,Holiday Autos July 14,Essence Media,Holiday Autos,GBP,0.59,Automotive,,0,,Independent,Independent,
427467,TF/ Essence/ Holiday Cottages4u/ July-Aug 14,Essence Media,Holiday Cottages,GBP,0.59,Travel and Transport,,0,,Independent,Independent,
